station_name,latitude,longitude,sensor_id,station_id,pollutant,pollutant_symbol,pollutant_code,pollutant_id
"Kielce, ul. Warszawska 108",50.886014,20.642858,26010,16196,pył zawieszony PM10,PM10,PM10,3
"Nowiny, ul. Parkowa",50.823108,20.533506,5083,769,dwutlenek azotu,NO2,NO2,6
"Nowiny, ul. Parkowa",50.823108,20.533506,5085,769,pył zawieszony PM10,PM10,PM10,3
"Nowiny, ul. Parkowa",50.823108,20.533506,14878,769,ozon,O3,O3,5
"Połaniec, ul. Ruszczańska",50.429014,21.277367,5115,778,pył zawieszony PM10,PM10,PM10,3
"Starachowice, ul. Złota",51.050611,21.084175,20310,785,pył zawieszony PM10,PM10,PM10,3
"Starachowice, ul. Złota",51.050611,21.084175,20311,785,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Starachowice, ul. Złota",51.050611,21.084175,17249,785,benzen,C6H6,C6H6,10
"Małogoszcz, ul. Słoneczna",50.809610,20.266032,17796,10794,dwutlenek azotu,NO2,NO2,6
"Małogoszcz, ul. Słoneczna",50.809610,20.266032,17799,10794,dwutlenek siarki,SO2,SO2,1
"Małogoszcz, ul. Słoneczna",50.809610,20.266032,17800,10794,pył zawieszony PM10,PM10,PM10,3
"Gołuchów, Ujęcie Wody",50.621482,20.614057,21043,11754,ozon,O3,O3,5
"Gołuchów, Ujęcie Wody",50.621482,20.614057,21045,11754,dwutlenek azotu,NO2,NO2,6
"Gołuchów, Ujęcie Wody",50.621482,20.614057,21047,11754,dwutlenek siarki,SO2,SO2,1
"Gołuchów, Ujęcie Wody",50.621482,20.614057,26004,11754,pył zawieszony PM10,PM10,PM10,3
"Włoszczowa, ul. Kilińskiego",50.850321,19.971990,28727,12016,dwutlenek azotu,NO2,NO2,6
"Włoszczowa, ul. Kilińskiego",50.850321,19.971990,21471,12016,pył zawieszony PM10,PM10,PM10,3
"Włoszczowa, ul. Kilińskiego",50.850321,19.971990,21475,12016,dwutlenek siarki,SO2,SO2,1
"Włoszczowa, ul. Kilińskiego",50.850321,19.971990,21463,12016,tlenek węgla,CO,CO,8
"Włoszczowa, ul. Kilińskiego",50.850321,19.971990,21464,12016,ozon,O3,O3,5
"Włoszczowa, ul. Kilińskiego",50.850321,19.971990,21465,12016,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Łagów, ul. Zapłotnia",50.778479,21.081224,25995,12138,pył zawieszony PM10,PM10,PM10,3
"Łagów, ul. Zapłotnia",50.778479,21.081224,25997,12138,pył zawieszony PM2.5,PM2.5,PM2.5,69
" Olsztyn, ul. Puszkina",53.789233,20.486075,5752,877,benzen,C6H6,C6H6,10
" Olsztyn, ul. Puszkina",53.789233,20.486075,5754,877,tlenek węgla,CO,CO,8
" Olsztyn, ul. Puszkina",53.789233,20.486075,5761,877,dwutlenek azotu,NO2,NO2,6
" Olsztyn, ul. Puszkina",53.789233,20.486075,5763,877,ozon,O3,O3,5
" Olsztyn, ul. Puszkina",53.789233,20.486075,5766,877,pył zawieszony PM10,PM10,PM10,3
" Olsztyn, ul. Puszkina",53.789233,20.486075,5768,877,pył zawieszony PM2.5,PM2.5,PM2.5,69
" Olsztyn, ul. Puszkina",53.789233,20.486075,5770,877,dwutlenek siarki,SO2,SO2,1
"Elbląg, ul. Bażyńskiego",54.167847,19.410942,5671,861,benzen,C6H6,C6H6,10
"Elbląg, ul. Bażyńskiego",54.167847,19.410942,5673,861,tlenek węgla,CO,CO,8
"Elbląg, ul. Bażyńskiego",54.167847,19.410942,5678,861,dwutlenek azotu,NO2,NO2,6
"Elbląg, ul. Bażyńskiego",54.167847,19.410942,5680,861,ozon,O3,O3,5
"Elbląg, ul. Bażyńskiego",54.167847,19.410942,5683,861,pył zawieszony PM10,PM10,PM10,3
"Elbląg, ul. Bażyńskiego",54.167847,19.410942,5686,861,dwutlenek siarki,SO2,SO2,1
"Elbląg, ul. Bażyńskiego",54.167847,19.410942,20691,861,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Łask, ul. Narutowicza",51.589208,19.131433,20796,11554,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Łask, ul. Narutowicza",51.589208,19.131433,20778,11554,pył zawieszony PM10,PM10,PM10,3
"Kutno, ul. 1 Maja",52.231908,19.353689,20844,11616,dwutlenek azotu,NO2,NO2,6
"Kutno, ul. 1 Maja",52.231908,19.353689,20846,11616,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Kutno, ul. 1 Maja",52.231908,19.353689,20847,11616,pył zawieszony PM10,PM10,PM10,3
"Kraków, Aleja Krasińskiego",50.057678,19.926189,2745,400,tlenek węgla,CO,CO,8
"Kraków, Aleja Krasińskiego",50.057678,19.926189,2747,400,dwutlenek azotu,NO2,NO2,6
"Kraków, Aleja Krasińskiego",50.057678,19.926189,2750,400,pył zawieszony PM10,PM10,PM10,3
"Kraków, Aleja Krasińskiego",50.057678,19.926189,2752,400,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Kraków, Aleja Krasińskiego",50.057678,19.926189,16500,400,benzen,C6H6,C6H6,10
"Kraków, ul. Bujaka",50.010575,19.949189,2766,401,dwutlenek azotu,NO2,NO2,6
"Kraków, ul. Bujaka",50.010575,19.949189,2768,401,ozon,O3,O3,5
"Kraków, ul. Bujaka",50.010575,19.949189,2770,401,pył zawieszony PM10,PM10,PM10,3
"Kraków, ul. Bujaka",50.010575,19.949189,2774,401,dwutlenek siarki,SO2,SO2,1
"Kraków, ul. Bujaka",50.010575,19.949189,17896,401,benzen,C6H6,C6H6,10
"Kraków, ul. Bulwarowa",50.069308,20.053492,2779,402,benzen,C6H6,C6H6,10
"Kraków, ul. Bulwarowa",50.069308,20.053492,2783,402,tlenek węgla,CO,CO,8
"Kraków, ul. Bulwarowa",50.069308,20.053492,2788,402,dwutlenek azotu,NO2,NO2,6
"Kraków, ul. Bulwarowa",50.069308,20.053492,2792,402,pył zawieszony PM10,PM10,PM10,3
"Kraków, ul. Bulwarowa",50.069308,20.053492,2794,402,pył zawieszony PM2.5,PM2.5,PM2.5,69
"Kraków, ul. Bulwarowa",50.069308,20.053492,2797,402,dwutlenek siarki,SO2,SO2,1
"Kraków, ul. Dietla",50.057447,19.946008,16377,10121,pył zawieszony PM10,PM10,PM10,3
"Kraków, ul. Dietla",50.057447,19.946008,16516,10121,dwutlenek azotu,NO2,NO2,6
"Kraków, ul. Złoty Róg",50.081197,19.895358,16786,10123,pył zawieszony PM10,PM10,PM10,3
"Kraków, os. Piastów",50.098508,20.018269,16784,10139,pył zawieszony PM10,PM10,PM10,3
"Kraków, os. Wadów",50.100569,20.122561,17309,10447,pył zawieszony PM10,PM10,PM10,3
"Kraków, os. Swoszowice",49.991442,19.936792,20320,11303,pył zawieszony PM10,PM10,PM10,3
"Tarnów, ul. Bitwy pod Studziankami",50.020169,21.004167,3073,444,dwutlenek siarki,SO2,SO2,1
"Tarnów, ul. Bitwy pod Studziankami",50.020169,21.004167,3066,444,dwutlenek azotu,NO2,NO2,6
